,Blue,White,Military,Schooling,Home
Blue,0.62,0.07,0.02,0.13,0.16
White,0.18,0.52,0.01,0.2,0.09
Military,0.04,0.01,0.73,0.11,0.11
Schooling,0.04,0.03,0.0,0.87,0.06
Home,0.2,0.04,0.02,0.27,0.46
